ticker,nombre,sector,periodo,report_date,fecha_publicacion,moneda,unidad,ingresos,ingresos_anterior,var_ingresos_pct,beneficio_neto,beneficio_neto_anterior,var_beneficio_pct,margen_neto_pct,bpa_diluido,bpa_diluido_anterior,var_bpa_pct,bpa_basico,resumen_generado,modelo,fuente_url
GOOGL,Alphabet Inc. (Class A),Communication Services,Q1/2026,2026-03-31,2026-04-30,USD,millones,109896.0,90234.0,21.79,62578.0,34540.0,81.18,56.94,5.11,2.84,79.93,5.17,"Los ingresos subieron a $109,896 millones en el trimestre actual desde $90,234 millones en el mismo periodo del año anterior, mientras que el beneficio neto aumentó significativamente a $62,578 millones. El BPA diluido también experimentó un crecimiento considerable.",qwen2.5:7b-instruct,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm
AMZN,Amazon,Consumer Discretionary,Q1/2026,2026-03-31,2026-04-30,USD,millions,181519.0,,,30255.0,,,16.67,2.78,,,2.82,"En el primer trimestre de 2025, Amazon reportó ingresos totales de $181,519 millones y un beneficio neto de $30,255 millones, mostrando una mejora en ambos indicadores comparado con el mismo período del año anterior.",qwen2.5:7b-instruct,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000014/amzn-20260331.htm
KO,Coca-Cola Company (The),Consumer Staples,Q2/2026,2026-04-03,2026-04-30,USD,millions,12472.0,11129.0,12.07,3966.0,3335.0,18.92,31.8,0.91,0.77,18.18,,"Los ingresos subieron a $12,472 millones desde $11,129 millones en el mismo trimestre del año anterior, y el beneficio neto aumentó a $3,966 millones frente a $3,335 millones. El BPA diluido también mejoró a $0.91 por acción.",qwen2.5:7b-instruct,https://www.sec.gov/Archives/edgar/data/21344/000162828026028802/ko-20260403.htm
PG,Procter & Gamble,Consumer Staples,Q1/2026,2026-03-31,2026-04-24,USD,millones,21235.0,19776.0,7.38,3951.0,3793.0,4.17,18.61,1.63,1.54,5.84,1.66,"Los ingresos subieron a $21,235 millones desde $19,776 millones en el mismo trimestre del año anterior, y el beneficio neto aumentó a $3,951 millones frente a $3,793 millones. El BPA diluido también creció hasta $1.63.",qwen2.5:7b-instruct,https://www.sec.gov/Archives/edgar/data/80424/000008042426000060/pg-20260331.htm
WMT,Walmart,Consumer Staples,Q2/2026,2026-04-30,2026-05-29,USD,millions,177751.0,165609.0,7.33,5330.0,4487.0,18.79,3.0,0.67,0.56,19.64,,"Los ingresos subieron a $177,751 millones desde $165,609 millones en el mismo trimestre del año anterior, y el beneficio neto aumentó a $5,330 millones contra $4,487 millones. El BPA diluido también creció hasta $0.67 por acción.",qwen2.5:7b-instruct,https://www.sec.gov/Archives/edgar/data/104169/000010416926000102/wmt-20260430.htm
CVX,Chevron Corporation,Energy,Q1/2026,2026-03-31,2026-05-07,USD,millions,48607.0,47610.0,2.09,2293.0,3512.0,-34.71,4.72,1.11,2.0,-44.5,1.12,"Los ingresos subieron a $48,607 millones desde $47,610 millones en el mismo trimestre del año anterior, mientras que el beneficio neto disminuyó a $2,293 millones desde $3,512 millones. El BPA diluido bajó a $1.11 desde $2.00.",qwen2.5:7b-instruct,https://www.sec.gov/Archives/edgar/data/93410/000009341026000113/cvx-20260331.htm
XOM,ExxonMobil,Energy,Q1/2026,2026-03-31,2026-05-04,USD,millions,85138.0,83130.0,2.42,4183.0,7713.0,-45.77,4.91,1.0,1.76,-43.18,,"Los ingresos subieron a $85,138 millones desde $83,130 millones en el mismo trimestre del año anterior, mientras que el beneficio neto disminuyó a $4,183 millones contra $7,713 millones. El BPA diluido bajó a $1.00 por acción desde $1.76.",qwen2.5:7b-instruct,https://www.sec.gov/Archives/edgar/data/34088/000003408826000067/xom-20260331.htm
JPM,JPMorgan Chase,Financials,Q1/2026,2026-03-31,2026-05-01,USD,millones,49836.0,45310.0,9.99,16494.0,14643.0,12.64,33.1,5.94,5.07,17.16,5.95,"Los ingresos subieron a $49,836 millones desde $45,310 millones en el mismo trimestre del año anterior, mientras que el beneficio neto aumentó a $16,494 millones desde $14,643 millones. El BPA diluido también creció hasta $5.94 por acción.",qwen2.5:7b-instruct,https://www.sec.gov/Archives/edgar/data/19617/000162828026029344/jpm-20260331.htm
MA,Mastercard,Financials,Q1/2026,2026-03-31,2026-04-30,USD,millions,8398.0,7250.0,15.83,3882.0,3280.0,18.35,46.23,4.35,3.59,21.17,,"Los ingresos subieron a $8,398 millones desde $7,250 millones en el mismo trimestre del año anterior, y el beneficio neto aumentó a $3,882 millones frente a $3,280 millones. El BPA diluido también mejoró a $4.35 por acción.",qwen2.5:7b-instruct,https://www.sec.gov/Archives/edgar/data/1141391/000114139126000031/ma-20260331.htm
V,Visa Inc.,Financials,Q1/2026,2026-03-31,2026-04-29,USD,millones,11230.0,9594.0,17.05,6021.0,4577.0,31.55,53.62,3.14,2.32,35.34,3.15,"Visa reportó ingresos de $11,230 millones y un beneficio neto de $6,021 millones en el primer trimestre de 2026, subiendo significativamente respecto al año anterior.",qwen2.5:7b-instruct,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000079/v-20260331.htm
